run,seed,nodes,committee,transport,fanout,slots,status,started_utc,finished_utc,elapsed_s,exit_code
1500-top-stake-seats-push-f8-s1,1,1500,top-stake-seats,push,8,400,passed,2026-09-11T11:29:04+00:00,2026-09-11T11:47:39+00:00,1114.805,0
1500-top-stake-seats-push-late-dedupe-f8-s1,1,1500,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T11:47:39+00:00,2026-09-11T12:06:41+00:00,1142.310,0
750-everyone-push-f8-s1,1,750,everyone,push,8,400,passed,2026-09-11T12:06:41+00:00,2026-09-11T12:16:45+00:00,604.372,0
750-everyone-push-late-dedupe-f8-s1,1,750,everyone,push-late-dedupe,8,400,passed,2026-09-11T12:16:46+00:00,2026-09-11T12:26:17+00:00,571.133,0
1500-everyone-push-f8-s1,1,1500,everyone,push,8,400,passed,2026-09-11T12:26:17+00:00,2026-09-11T12:46:36+00:00,1218.832,0
1500-everyone-push-late-dedupe-f8-s1,1,1500,everyone,push-late-dedupe,8,400,passed,2026-09-11T12:46:36+00:00,2026-09-11T13:09:35+00:00,1378.906,0
750-top-stake-seats-push-f8-s2,2,750,top-stake-seats,push,8,400,passed,2026-09-11T13:09:35+00:00,2026-09-11T13:19:45+00:00,610.160,0
750-top-stake-seats-push-late-dedupe-f8-s2,2,750,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T13:19:45+00:00,2026-09-11T13:29:05+00:00,559.631,0
1500-top-stake-seats-push-f8-s2,2,1500,top-stake-seats,push,8,400,passed,2026-09-11T13:29:05+00:00,2026-09-11T13:47:48+00:00,1122.736,0
1500-top-stake-seats-push-late-dedupe-f8-s2,2,1500,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T13:47:48+00:00,2026-09-11T14:06:16+00:00,1108.528,0
750-everyone-push-f8-s2,2,750,everyone,push,8,400,passed,2026-09-11T14:06:17+00:00,2026-09-11T14:15:50+00:00,573.660,0
750-everyone-push-late-dedupe-f8-s2,2,750,everyone,push-late-dedupe,8,400,passed,2026-09-11T14:15:50+00:00,2026-09-11T14:25:37+00:00,586.834,0
1500-everyone-push-f8-s2,2,1500,everyone,push,8,400,passed,2026-09-11T14:25:37+00:00,2026-09-11T14:47:16+00:00,1298.279,0
1500-everyone-push-late-dedupe-f8-s2,2,1500,everyone,push-late-dedupe,8,400,passed,2026-09-11T14:47:16+00:00,2026-09-11T15:10:21+00:00,1385.466,0
